presence,retailers,type,name,brand,min_price,max_price,sample_url
1,El Catador,tinto,Avalon Red Blend,Avalon,1380,1380,https://elcatador.com/products/avalon-red-blend-1
1,El Catador,tinto,Banfi Brunello Di Montalcino,Banfi,5500,5500,https://elcatador.com/products/banfi-brunello-di-montalcino
1,El Catador,tinto,Banfi Chianti Classico,Banfi,1950,1950,https://elcatador.com/products/banfi-chianti-classico
1,El Catador,tinto,Banfi Chianti Reserva,Banfi,2690,2690,https://elcatador.com/products/banfi-chianti-reserva
1,El Catador,tinto,Banfi Cum Laude,Banfi,3040,3040,https://elcatador.com/products/banfi-cum-laude
1,El Catador,tinto,Banfi Rosso Di Montalcino,Banfi,2680,2680,https://elcatador.com/products/banfi-rosso-di-montalcino
1,El Catador,tinto,Banfi Summus,Banfi,6250,6250,https://elcatador.com/products/banfi-summus
1,El Catador,tinto,Banfi Vigna Marrucheto Brunello di Montalcino,Banfi,9200,9200,https://elcatador.com/products/banfi-vigna-marrucheto-brunello-di-montalcino
1,El Catador,tinto,"Bardos Crianza, Ribera del Duero",Lopez de Haro,1650,1650,https://elcatador.com/products/bardos-crianza-ribera-del-duero
1,El Catador,tinto,Baron Philippe de Rothschild Cabernet Sauvignon,Baron Philippe de Rothschild,1190,1190,https://elcatador.com/products/baron-philippe-de-rothschild-cabernet-sauvignon
1,El Catador,tinto,Baron Philippe Mouton Cadet Reserva Medoc,Baron Philippe de Rothschild,2190,2190,https://elcatador.com/products/baron-philippe-mouton-cadet-reserva-medoc
1,El Catador,tinto,Batasiolo Barolo Briccolina,Batasiolo,6590,6590,https://elcatador.com/products/batasiolo-barolo-briccolina
1,El Catador,tinto,Batasiolo Langhe Rosso,Batasiolo,1760,1760,https://elcatador.com/products/batasiolo-langhe-rosso
1,El Catador,tinto,Beringer Bros Red Blend,Beringer,1650,1650,https://elcatador.com/products/beringer-bros-red-blend
1,El Catador,tinto,Beringer California Red Crush,Beringer,870,870,https://elcatador.com/products/beringer-california-red-crush
1,El Catador,tinto,Beringer Founders Estate Merlot,Beringer,1450,1450,https://elcatador.com/products/beringer-founders-estate-merlot
1,El Catador,tinto,Beringer Knights Valley Cabernet Sauvignon,Beringer,3810,3810,https://elcatador.com/products/beringer-knights-valley-cabernet-sauvignon
1,El Catador,tinto,Boen California Pinot Noir,Boen,2590,2590,https://elcatador.com/products/boen-california-pinot-noir
1,El Catador,tinto,Bogle Essential Red,Bogle,1550,1550,https://elcatador.com/products/bogle-essential-red
1,El Catador,tinto,Bogle Old Vine Zinfandel,Bogle,1690,1690,https://elcatador.com/products/bogle-old-vine-zinfandel
