presence,retailers,type,name,brand,min_price,max_price,sample_url
1,Olímpica,tinto,Vino Tinto D'Alamel Merlot 750 Ml,Dalamel,101450,101450,https://www.olimpica.com/vino-tinto-dalamel-merlot-750ml-7804387001833-2106180/p
1,Vinos El Kiosco,tinto,Vino Tinto D&#8217;Alamel Carmenere,,83500,83500,https://www.vinoselkiosco.com/tienda/dalamel-carmenere/
1,Olímpica,tinto,Vino Tinto Dadá 1 Finca Las Moras Malbec 750 Ml,Dada,80000,80000,https://www.olimpica.com/vino-dada-bonarda-malbec-750-ml/p
1,Olímpica,tinto,Vino Tinto Dadá 2 Finca Las Moras Merlot 750 Ml,Dada,80000,80000,https://www.olimpica.com/vino-dada-2-merlot-750-ml/p
1,Jumbo,tinto,Vino tinto Dadá Art Wine 3 x750ml,DADA,81990,81990,https://www.jumbocolombia.com/vino-dada-tinto-art-wine-3-bot-x-750-ml/p
1,Dislicores,tinto,Vino Tinto Dalmau Reserva Marques De Murrieta,Dalmau,1168000,1168000,https://www.dislicores.com/vino-tinto-dalmau-reserva-marques-de-murrieta-ref806008/p
1,Vinos El Kiosco,tinto,Vino Tinto Danzante Chianti DOC,,132300,132300,https://www.vinoselkiosco.com/tienda/danzante-chianti-doc/
1,Vinos El Kiosco,tinto,Vino Tinto De Martino Legado Gran Reserva Syrah,,116700,116700,https://www.vinoselkiosco.com/tienda/vino-tinto-de-martino-legado-gran-reserva-syrah/
1,Vinos El Kiosco,tinto,Vino Tinto De Martino Single Vineyard Alto De Piedras Carmenere,,220800,220800,https://www.vinoselkiosco.com/tienda/vino-tinto-de-martino-single-vineyard-alto-de-piedras-carmenere/
1,Vinos El Kiosco,tinto,Vino Tinto De Martino Viejas Tinajas Cinsault,,144900,144900,https://www.vinoselkiosco.com/tienda/vino-tinto-de-martino-viejas-tinajas-cinsault/
1,Vinos El Kiosco,tinto,Vino Tinto Decoy Red Wine,,144200,144200,https://www.vinoselkiosco.com/tienda/decoy-red-wine/
