presence,retailers,type,name,brand,min_price,max_price,sample_url
1,Descorcha,espumoso,SBX Demi Sec,Comercial Peumo,3894,3894,https://descorcha.com/products/sbx-demi-sec
1,Descorcha,espumoso,SBX Moscato,Comercial Peumo,3295,3295,https://descorcha.com/products/sbx-moscato
1,Descorcha,espumoso,Sbx Rose,Comercial Peumo,3894,3894,https://descorcha.com/products/sbx-rose
1,La Vinoteca,espumoso,Segura Viudas Brut Reserva,Segura Viudas,10190,10190,https://www.lavinoteca.cl/segura-viudas-brut-reserva-/p
1,La Vinoteca,espumoso,Segura Viudas Brut Reserva Heredad,Segura Viudas,31990,31990,https://www.lavinoteca.cl/segura-viudas-brut-reserva-heredad/p
1,Descorcha,espumoso,Sol de Sol Brut Nature Brut Nature,Aquitania,32494,32494,https://descorcha.com/products/sol-de-sol-brut-nature-brut-nature
1,La Vinoteca,espumoso,Taittinger Brut Reserva,Taittinger,129990,129990,https://www.lavinoteca.cl/taittinger-brut-reserva/p
1,La Vinoteca,espumoso,Taittinger Nocturne,Taittinger,154390,154390,https://www.lavinoteca.cl/taittinger-nocturne/p
1,La Vinoteca,espumoso,Undurraga  Supreme Extra Brut,Undurraga,13190,13190,https://www.lavinoteca.cl/undurraga--supreme-extra-brut-/p
1,La Vinoteca,espumoso,Undurraga Brut Royal,Undurraga,7750,7750,https://www.lavinoteca.cl/undurraga-brut-royal-/p
1,La Vinoteca,espumoso,Undurraga Extra Brut,Undurraga,8630,8630,https://www.lavinoteca.cl/undurraga-extra-brut-/p
1,La Vinoteca,espumoso,Valdivieso Caballo Loco Grand Cru Blanc de Noirs,Valdivieso,17990,17990,https://www.lavinoteca.cl/valdivieso-caballo-loco-grand-cru-blanc-de-noirs/p
1,La Vinoteca,espumoso,Valdivieso Caballo Loco Grand Cru Brut Nature,Valdivieso,22790,22790,https://www.lavinoteca.cl/valdivieso-caballo-loco-grand-cru-brut-nature/p
1,La Vinoteca,espumoso,Valdivieso Centenario Blanc de Blancs,Valdivieso,34470,34470,https://www.lavinoteca.cl/valdivieso-centenario-blanc-de-blancs/p
1,La Vinoteca,espumoso,Valdivieso Eclat Brut Rosé Cinsault,Valdivieso,14310,14310,https://www.lavinoteca.cl/valdivieso-eclat-brut-rose-cinsault/p
1,La Vinoteca,espumoso,Valdivieso Espumante Blanc de Noirs,Valdivieso,16790,16790,https://www.lavinoteca.cl/valdivieso-espumante-blanc-de-noirs/p
1,La Vinoteca,espumoso,Valdivieso Espumante Extra Brut,Valdivieso,15110,15110,https://www.lavinoteca.cl/valdivieso-espumante-extra-brut/p
1,La Vinoteca,espumoso,Valdivieso Espumante Limited Brut,Valdivieso,9670,9670,https://www.lavinoteca.cl/valdivieso-espumante-limited-brut/p
1,La Vinoteca,espumoso,Valdivieso Limited Brut Rosé - Cinsault,Valdivieso,6870,6870,https://www.lavinoteca.cl/valdivieso-limited-brut-rose-cinsault/p
1,Descorcha,espumoso,Veuve Clicquot Brut Yellow Label C/Est. 750cc,Premium Brands,91012,91012,https://descorcha.com/products/veuve-clicquot-brut-yellow-label-c-est-750cc
1,Descorcha,espumoso,Veuve Clicquot La Grande Dame,Premium Brands,210000,210000,https://descorcha.com/products/veuve-clicquot-la-grande-dame
1,La Vinoteca,espumoso,VIK La Piu Belle Champagne,VIK,168790,168790,https://www.lavinoteca.cl/vik-la-piu-belle-champagne/p
1,La Vinoteca,espumoso,Viñamar Brut,San Pedro,9490,9490,https://www.lavinoteca.cl/vinamar-brut/p
1,La Vinoteca,espumoso,Viñamar Brut Unique,San Pedro,9190,9190,https://www.lavinoteca.cl/vinamar-brut-unique/p
1,La Vinoteca,espumoso,Viñedos Lo Abarca N°5 Pét-Nat,Viñedos Lo Abarca,24990,24990,https://www.lavinoteca.cl/vinedos-lo-abarca-n5-pet-nat/p
1,Descorcha,espumoso,Vino Castillo Molina Gran Reserva Cabernet Sauvignon,Comercial Zapata,7145,7145,https://descorcha.com/products/vino-castillo-molina-gran-reserva-cabernet-sauvignon
1,Descorcha,rosado,Adobe Rose,Comercial Peumo,3894,3894,https://descorcha.com/products/adobe-rose
1,Descorcha,rosado,Bicicleta Frutal Rose Berries,Comercial Peumo,2394,2394,https://descorcha.com/products/bicicleta-frutal-rose-berries
1,Descorcha,rosado,Bicicleta Rose,Comercial Peumo,2753,2753,https://descorcha.com/products/bicicleta-rose
1,Descorcha,rosado,Casillero del Diablo Reserva Rose,Comercial Peumo,3594,3594,https://descorcha.com/products/casillero-del-diablo-reserva-rose
1,Descorcha,rosado,Concha y Toro Rose,Comercial Peumo,3192,3192,https://descorcha.com/products/concha-y-toro-rose
1,Descorcha,rosado,Diablo Luminous Rose,Comercial Peumo,4794,4794,https://descorcha.com/products/diablo-luminous-rose
1,Descorcha,rosado,Dom Perignon Rose Vintage 750cc Rose,Premium Brands,504591,504591,https://descorcha.com/products/dom-perignon-rose-vintage-750cc-rose
1,Descorcha,rosado,Late Harvest Rose,Comercial Peumo,3352,3352,https://descorcha.com/products/late-harvest-rose
1,Descorcha,rosado,Lof Rutero Rosado,LOF,10400,10400,https://descorcha.com/products/lof-rutero-rosado
1,La Vinoteca,rosado,Lopez Pangue Rosado,Lopez Pangue,11190,11190,https://www.lavinoteca.cl/lopez-pangue-rosado/p
1,Descorcha,rosado,Marques de Casa Concha Rose Cinsault,Comercial Peumo,9594,9594,https://descorcha.com/products/marques-de-casa-concha-rose-cinsault
1,Descorcha,rosado,Moët & Chandon Rose Imperial,Premium Brands,77804,77804,https://descorcha.com/products/moet-chandon-rose-imperial
1,Descorcha,rosado,Tais Rose Pinot Noir,Emiliana,6594,6594,https://descorcha.com/products/tais-rose-pinot-noir
1,La Vinoteca,rosado,Veramonte Orgánico Gran Reserva Rosé,Veramonte,8390,8390,https://www.lavinoteca.cl/veramonte-organico-gran-reserva-rose/p
1,La Vinoteca,rosado,Viñedos Lo Abarca N°6 Rosé,Viñedos Lo Abarca,19990,19990,https://www.lavinoteca.cl/vinedos-lo-abarca-n6-rose/p
1,Descorcha,rosado,Vino Los Vascos Rose Reserva,Premium Brands,5662,5662,https://descorcha.com/products/vino-los-vascos-rose-reserva
1,Descorcha,rosado,Vino Vik La Piu Belle Rosé,Comercial Zapata,14063,14063,https://descorcha.com/products/vino-vik-la-piu-belle-rose
1,La Vinoteca,rosado,Viu Manent Secreto Rosé,Viu Manent,11750,11750,https://www.lavinoteca.cl/viu-manent-secreto-rose/p
1,Descorcha,tinto,1000 Stories Zinfandel,Comercial Peumo,23992,23992,https://descorcha.com/products/1000-stories-zinfandel
1,Descorcha,tinto,57 Rocas Carmenere,Emiliana,11394,11394,https://descorcha.com/products/57-rocas-carmenere
1,VentaVinos,tinto,6 x Bestia Origen|Premium| Carignan|  750cc,Bestias Wines,99000,99000,https://www.ventavinos.cl/products/6-x-bestia-origen-premium-carignan-750cc-copia
1,La Vinoteca,tinto,A Cabernet Franc,VIK,17990,17990,https://www.lavinoteca.cl/a-cabernet-franc-7557/p
1,La Vinoteca,tinto,A Cabernet Nouveau,VIK,21590,21590,https://www.lavinoteca.cl/a-cabernet-nouveau/p
1,La Vinoteca,tinto,A Carménère,VIK,21590,21590,https://www.lavinoteca.cl/vik-a-carmenere-6774/p
1,Descorcha,tinto,Adobe Carmenere,Comercial Peumo,4193,4193,https://descorcha.com/products/adobe-carmenere
